Country,ISO2,ISO3,Indicator,Technology,Energy Type,Unit,Source,CTS Name,CTS Code,CTS Full Descriptor,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Kenya,KE,KEN,Electricity Generation,Bioenergy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",84.83,78.016,91.027,84.081,93.22,105.016,111.657,117.084,115.24,215.214,300.203,293.158,287.49,261.486,199.21,202.315,194.286,151.691,163.234,144.095,194.552,194.602,
Kenya,KE,KEN,Electricity Installed Capacity,Bioenergy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",33.5,33.5,36.5,36.5,36.5,36.5,36.5,36.5,36.504,55.504,55.504,55.504,55.504,55.504,55.504,58.304,84.304,85.204,87.704,87.704,98.704,98.704,98.704
Kenya,KE,KEN,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",1784.0,1808.5,1276.0,932.0,1091.5,1498.5,1765.0,1873.5,2139.5,2738.965,2666.765,2444.42,2351.075,2435.145,2345.035,1670.09,1826.66,2218.375,1764.21,1098.965,915.145,1301.43,
Kenya,KE,KEN,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",233.0,233.0,233.0,407.0,407.0,349.3,289.8,389.3,442.7,445.4,484.2,575.6,575.9,582.5,671.5,828.82,833.82,802.52,806.72,807.02,750.9,752.0,756.1
Kenya,KE,KEN,Electricity Generation,Geothermal energy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",406.0,454.5,433.0,587.0,911.5,1019.0,1030.0,1060.5,1144.0,1287.275,1377.475,1478.81,1578.9,1906.045,3206.085,4481.1,4688.925,4870.155,5168.435,5383.855,5384.88,5182.69,
Kenya,KE,KEN,Electricity Installed Capacity,Geothermal energy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",58.0,58.0,58.0,58.0,128.0,128.0,128.0,128.0,128.0,163.0,198.0,198.0,205.5,205.5,366.1,618.9,652.9,672.9,683.8,683.8,863.1,863.1,949.1
Kenya,KE,KEN,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",1879.5,1863.0,2761.5,3190.0,3064.0,2947.5,3162.75,3403.7,3184.4,2511.11,2795.66,3446.115,3906.61,4153.795,3639.365,3559.965,3574.1,3293.075,3493.795,3728.33,3940.575,3781.155,
Kenya,KE,KEN,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",684.953,684.956,684.956,684.956,684.971,685.021,685.021,685.029,745.035,757.115,772.935,772.935,817.935,825.988,826.842,832.842,836.362,847.482,849.982,855.682,850.342,850.342,858.542
Kenya,KE,KEN,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",,,,,,0.002,0.002,0.014,0.251,0.283,0.3,2.196,5.208,11.356,25.88,47.807,53.98,67.191,82.505,113.727,145.625,422.205,
Kenya,KE,KEN,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",,0.126,0.126,0.126,,0.002,0.002,0.009,0.164,0.185,0.196,1.435,3.404,7.422,16.915,31.246,36.434,46.35,106.359,126.766,146.634,217.405,306.969
Kenya,KE,KEN,Electricity Generation,Wind energy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",0.1,0.055,0.155,0.35,0.425,0.415,0.29,0.2,0.25,8.305,17.005,16.5,14.96,16.305,27.562,47.636,61.175,56.227,58.267,57.98,51.375,82.8,
Kenya,KE,KEN,Electricity Installed Capacity,Wind energy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,5.65,5.65,5.65,5.65,5.85,26.1,26.1,26.21,336.1,336.1,336.1,436.1,436.1
